Precios sin I.G.V. vigentes al 28/02/2025 	- 1.1 -
Valor m2 de Construcción
Los metrados se han calculado en base a los Planos de Arquitectura que se presentan y a sus respectivos planos de estructuras e instala ciones sanitarias
y eléctricas. En la elaboración de este presupuesto se ha empleado los análisis de costos y precios de insu mos que se editan en la presente publicación.
Tipo: 	Vivienda Unifamiliar Económica.
Modelo: 	2 plantas más área de servicio en tercera planta.
Area terreno: 	120.00 m2
Area techada: 	200.00 m 2
Lugar: 	Zona 2 - Lima
Estructuras: 	Muros de ladrillo, columnas, placas, vigas y losa aligerada.
Acabados: 	Del tipo normal, según las partida descritas en el presupuesto.
Instalaciones Sanitarias: 	Agua fría. Agua caliente, Desague, Cisterna y Tanque Elevado.
Instalaciones Eléctricas: 	Tuberías empotradas PVC
VALOR m2 DE CONSTRUCCION
TIPOLOGÍA A - VIVIENDA UNIFAMILIAR ECONÓMICA - S/. 1,654.37 / m²
A continuación, le brindamos Valores de m2 de Construcción para la zona de Lima.
Esta información proporciona parámetros por m2 de Construcción asi como el detalle de los Presupuestos que lo originan, de tal manera que nuestros
suscriptores pueden hacer estimaciones aproximadas y rápidas con un buen nivel de confiabilidad para que la adecúen a su proyecto.
Estos costos no consideran Gastos Generales, Utilidad, Impuestos ni Honorarios, sólo Costo Directo.
MEMORIA DESCRIPTIVA
ITEM 	GRUPO DE PARTIDA 	PARCIAL S/ 	VALOR M2 S/ 	VALOR M2 $
01 	Obras Provisionales 	13,822.76 	69.11 	18.77
02 	Trabajos Preliminares 	2,484.00 	12.42 	3.37
03 	Movimiento de Tierras 	7,556.02 	37.78 	10.26
04 	Obras de Concreto Simple 	11,738.79 	58.69 	15.94
05 	Concreto Armado 	73,881.54 	369.41 	100.30
06 	Muros y Tabiques de Albañileria 	25,490.26 	127.45 	34.61
07 	Revoques y Enlucidos 	17,109.26 	85.55 	23.23
08 	Cielo Raso 	8,922.90 	44.61 	12.11
09 	Pisos y Pavimentos 	24,308.59 	121.54 	33.00
10 	Contrazocalos 	2,222.48 	11.11 	3.02
11 	Zocalos 	3,069.69 	15.35 	4.17
12 	Revestimientos de Gradas y Escaleras 	1,682.19 	8.41 	2.28
13 	Cubiertas 	2,130.24 	10.65 	2.89
14 	Carpinteria de Madera 	30,903.86 	154.52 	41.95
15 	Carpinteria Metalica 	2,500.00 	12.50 	3.39
16 	Cerrajeria 	5,246.83 	26.23 	7.12
17 	Vidrios, cristales y similares 	7,765.76 	38.83 	10.54
18 	Pintura 	27,758.05 	138.79 	37.68
19 	Varios, Limpieza, Jardinería 	4,589.79 	22.95 	6.23
20 	Aparatos y Accesorios Sanitarios 	7,344.64 	36.72 	9.97
21 	Sistema de Desague 	5,258.77 	26.29 	7.14
22 	Accesorios de Redes Desague 	271.00 	1.36 	0.37
23 	Aditamentos Varios 	674.95 	3.37 	0.92
24 	Sistema de Agua Potable 	5,626.59 	28.13 	7.64
25 	Sistema de Agua Caliente 	2,183.71 	10.92 	2.96
26 	Almacenamiento de Agua 	1,888.77 	9.44 	2.56
27 	Instalaciones Electricas - Movimiento de Tierras 	391.87 	1.96 	0.53
28 	Tuberías y Accesorios Electr. PVC-SAP 	3,630.26 	18.15 	4.93
29 	Tuberias y Accesorios Electr. PVC - SEL 	8,281.54 	41.41 	11.24
30 	Cajas de Acero Galvanizado 	4,300.82 	21.50 	5.84
31 	Cables y Conductores 	6,429.61 	32.15 	8.73
32 	Interruptores 	1,589.48 	7.95 	2.16
33 	Tomacorrientes 	5,987.30 	29.94 	8.13
34 	Equipamiento 	2,328.40 	11.64 	3.16
35 	Otros 	1,502.31 	7.51 	2.04
COSTO DIRECTO 	330,873.03 	1,654.37 	449.19
