Índices Unificados de Precios
- 4.4 -
Area 	Departamento
01 	Tumbes
Piura
Lambayeque
La Libertad
Cajamarca
Amazonas
San Martín
02 	Ancash
Lima
Callao
Ica
03 	Huánuco
Pasco
Junín
Huancavelica
Ayacucho
Ucayali
04 	Arequipa
Moquegua
Tacna
05 	Loreto
06 	Cusco
Puno
Apurímac
Madre de Dios
Nota: El cuadro incluye los
índices unificados de código:
30, 34, 39, 47, 49 y 53 que fueron
aprobados mediante Resolución
Jefatural Nº 039-2025-INEI.
COD DESCRIPCION 	1 	2 	3 	4 	5 	6
01 	ACEITES 	1317.98 	1317.98 	1317.98 	1317.98 	1317.98 	1317.98
02 	ACERO DE CONSTRUCCION LISO 	845.11 	845.11 	845.11 	845.11 	845.11 	845.11
03 	ACERO DE CONSTRUCCION CORRUGADO 	873.98 	873.98 	873.98 	873.98 	873.98 	873.98
04 	AGREGADO FINO 	704.78 	1149.04 	1225.68 	678.71 	350.04 	928.88
05 	AGREGADO GRUESO 	518.74 	261.87 	479.80 	617.69 	(*) 	790.15
06 	ALAMBRE Y CABLE DE COBRE DESNUDO 	1405.92 	1405.92 	1405.92 	1405.92 	1405.92 	1405.92
07 	ALAMBRE Y CABLE TW Y THW 	974.88 	974.88 	974.88 	974.88 	974.88 	974.88
08 	ALAMBRE Y CABLE TIPO WP 	1211.97 	1211.97 	1211.97 	1211.97 	1211.97 	1211.97
09 	ALCANTARILLA METALICA 	422.43 	422.43 	422.43 	422.43 	422.43 	422.43
10 	APARATOS SANITARIOS 	596.35 	596.35 	596.35 	596.35 	596.35 	596.35
11 	ARTEFACTO DE ALUMBRADO EXTERIOR 	269.29 	269.29 	269.29 	269.29 	269.29 	269.29
12 	ARTEFACTO DE ALUMBRADO INTERIOR 	330.32 	330.32 	330.32 	330.32 	330.32 	330.32
13 	ASFALTO 	3481.55 	3481.55 	3481.55 	3481.55 	3481.55 	3481.55
14 	BALDOSA ACUSTICA 	341.97 	341.97 	341.97 	341.97 	341.97 	341.97
16 	BALDOSA VINILICA 	376.53 	376.53 	376.53 	376.53 	376.53 	376.53
17 	BLOQUES Y LADRILLOS 	710.54 	779.66 	828.98 	966.02 	926.12 	1050.78
18 	CABLES TELEFONICOS 	471.94 	471.94 	471.94 	471.94 	471.94 	471.94
19 	CABLES TIPO NKY - NYY 	1092.02 	1092.02 	1092.02 	1092.02 	1092.02 	1092.02
20 	CEMENTO ASFALTICO 	3952.88 	3952.88 	3952.88 	3952.88 	3952.88 	3952.88
21 	CEMENTO PORTLAND TIPO I 	608.00 	552.40 	599.13 	559.15 	599.13 	492.38
22 	CEMENTO PORTLAND TIPO II 	(*) 	(*) 	(*) 	(*) 	(*) 	(*)
23 	CEMENTO PORTLAND TIPO V 	593.55 	593.55 	593.55 	593.55 	593.55 	593.55
24 	CERAMICAS ESMALTADAS Y SIN ESMALTAR 	274.67 	274.67 	274.67 	274.67 	274.67 	274.67
26 	CERRAJERIA NACIONAL 	445.89 	445.89 	445.89 	445.89 	445.89 	445.89
27 	DETONANTE 	859.99 	859.99 	859.99 	859.99 	859.99 	859.99
28 	DINAMITA 	762.09 	762.09 	762.09 	629.70 	762.09 	762.09
30 	DOLAR MAS INFLACION DEL MERCADO USA 	689.32 	689.32 	689.32 	689.32 	689.32 	689.32
31 	DUCTO DE CONCRETO 	457.50 	457.50 	457.50 	457.50 	457.50 	457.50
32 	FLETE TERRESTRE 	556.13 	556.13 	556.13 	556.13 	556.13 	556.13
33 	FLETE AEREO 	900.11 	900.11 	900.11 	900.11 	900.11 	900.11
34 	GASOLINA 	644.83 	644.83 	644.83 	644.83 	644.83 	644.83
37 	HERRAMIENTA MANUAL 	375.74 	375.74 	375.74 	375.74 	375.74 	375.74
38 	HORMIGON 	533.35 	1210.24 	1077.66 	624.91 	(*) 	773.84
39 	INDICE GENERAL DE PRECIOS AL CONSUMIDOR 	570.19 	570.19 	570.19 	570.19 	570.19 	570.19
40 	LOSETA 	430.58 	616.52 	457.69 	420.49 	272.89 	331.41
41 	MADERA EN TIRAS PARA PISO 	693.01 	693.01 	693.01 	693.01 	693.01 	693.01
42 	MADERA IMPORTADA PARA ENCOFRADO Y CARPINTERIA 	374.59 	374.59 	374.59 	374.59 	374.59 	374.59
43 	MADERA NACIONAL PARA ENCOFRADO Y CARPINT. 	937.69 	973.79 	1176.04 	832.89 	1436.68 	1149.49
44 	MADERA TERCIADA PARA CARPINTERIA 	506.07 	506.07 	506.07 	506.07 	506.07 	506.07
45 	MADERA TERCIADA PARA ENCOFRADO 	423.83 	423.83 	423.83 	423.83 	423.83 	423.83
46 	MALLA DE ALAMBRE 	609.60 	609.60 	609.60 	609.60 	609.60 	609.60
47 	MANO DE OBRA 	763.51 	763.51 	763.51 	763.51 	763.51 	763.51
48 	MAQUINARIA Y EQUIPO NACIONAL 	404.92 	404.92 	404.92 	404.92 	404.92 	404.92
49 	MAQUINARIA Y EQUIPO IMPORTADO 	443.61 	443.61 	443.61 	443.61 	443.61 	443.61
50 	MARCO Y TAPA DE FIERRO FUNDIDO 	1038.70 	1038.70 	1038.70 	1038.70 	1038.70 	1038.70
51 	PERFIL DE ACERO 	496.49 	496.49 	496.49 	496.49 	496.49 	496.49
52 	PERFIL DE ALUMINIO 	428.39 	428.39 	428.39 	428.39 	428.39 	428.39
53 	PETROLEO DIESEL 	1077.56 	1077.56 	1077.56 	1077.56 	1077.56 	1077.56
54 	PINTURA LATEX 	574.29 	574.29 	574.29 	574.29 	574.29 	574.29
55 	PINTURA TEMPLE 	865.16 	865.16 	865.16 	865.16 	865.16 	865.16
56 	PLANCHA DE ACERO LAC 	759.13 	759.13 	759.13 	759.13 	759.13 	759.13
57 	PLANCHA DE ACERO LAF 	543.82 	543.82 	543.82 	543.82 	543.82 	543.82
59 	PLANCHA DE ASBESTO CEMENTO 	283.67 	283.67 	283.67 	283.67 	283.67 	283.67
60 	PLANCHA DE POLIURETANO 	467.50 	467.50 	467.50 	467.50 	467.50 	467.50
61 	PLANCHA GALVANIZADA 	258.69 	258.69 	258.69 	258.69 	258.69 	258.69
62 	POSTES DE CONCRETO 	595.63 	595.63 	595.63 	595.63 	595.63 	595.63
64 	TERRAZO 	396.18 	396.18 	396.18 	396.18 	396.18 	396.18
65 	TUBERIA DE ACERO NEGRO 	279.45 	279.45 	279.45 	279.45 	279.45 	279.45
66 	TUBERIA DE ASBESTO CEMENTO 	918.98 	918.98 	918.98 	918.98 	918.98 	918.98
68 	TUBERIA DE COBRE 	433.96 	433.96 	433.96 	433.96 	433.96 	433.96
69 	TUBERIA DE CONCRETO SIMPLE 	390.74 	327.82 	428.87 	488.52 	269.39 	444.88
70 	TUBERIA DE CONCRETO REFORZADO 	218.25 	218.25 	218.25 	218.25 	218.25 	218.25
71 	TUBERIA DE FIERRO FUNDIDO 	660.29 	660.29 	660.29 	660.29 	660.29 	660.29
72 	TUBERIA DE PVC 	612.52 	612.52 	612.52 	612.52 	612.52 	612.52
73 	DUCTOS Y ACCESORIOS TELEFONICOS DE PVC 	784.40 	784.40 	784.40 	784.40 	784.40 	784.40
77 	VALVULA DE BRONCE NACIONAL 	434.59 	434.59 	434.59 	434.59 	434.59 	434.59
78 	VALVULA DE FIERRO FUNDIDO 	646.24 	646.24 	646.24 	646.24 	646.24 	646.24
80 	CONCRETO PREMEZCLADO 	129.81 	129.81 	129.81 	129.81 	129.81 	129.81
(*) Sin Producción
ANEXO RESOLUCIÓN JEFATURAL N°039-2025-INEI (Publicado el 21 de Febrero del 2025)
ÍNDICES UNIFICADOS DE PRECIOS DEL MES DE ENERO DEL 2025
Fuente: INEI
